,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
wavelet2-HH_firstorder_Skewness,0.5174514379847621,<,0.0206488058186589,0.5122520420070011,0.5117647058823529,mann-whitney U-test,0.3458265002750065
log-sigma-3-mm-3D_gldm_DependenceNonUniformityNormalized,0.517362207426728,>,0.2095292641050133,0.5058823529411764,0.5064177362893816,mann-whitney U-test,0.3482985081229436
log-sigma-2-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.5173416157594893,>,200.71110315599023,0.5088235294117647,0.5075845974329054,mann-whitney U-test,0.348870562525584
log-sigma-3-mm-3D_glcm_SumEntropy,0.517101379641705,<,3.966282979160368,0.5122520420070011,0.5147058823529411,mann-whitney U-test,0.35558857879660977
exponential_glrlm_ShortRunEmphasis,0.516933214359256,<,0.1802170968143297,0.5180863477246208,0.5176470588235293,mann-whitney U-test,0.3603394138557898
log-sigma-3-mm-3D_firstorder_Entropy,0.5168748713020798,<,3.2023681077006456,0.5180863477246208,0.5176470588235293,mann-whitney U-test,0.36199692921977866
log-sigma-3-mm-3D_glszm_ZonePercentage,0.5168439838012218,>,0.0072508902024843,0.5176470588235295,0.514585764294049,mann-whitney U-test,0.3628763683388798
original_glcm_Idmn,0.5167719129658864,<,0.9979422747276816,0.5087514585764294,0.5058823529411764,mann-whitney U-test,0.36493358892284633
squareroot_glcm_ClusterProminence,0.5167547532431875,<,279286.06498900626,0.48891481913652274,0.4882352941176471,mann-whitney U-test,0.36542447508487197
log-sigma-3-mm-3D_glrlm_RunPercentage,0.516703274075091,<,0.2502651640702684,0.5040840140023337,0.5058823529411764,mann-whitney U-test,0.3668996055692475
wavelet-HL_firstorder_Skewness,0.5165007893472441,>,-0.1001221024838529,0.5117647058823529,0.5110851808634773,mann-whitney U-test,0.372737724695936
wavelet2-HH_glcm_MCC,0.5164081268446702,<,0.2416236740386234,0.514585764294049,0.5147058823529411,mann-whitney U-test,0.3754284939681114
log-sigma-3-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.516380671288352,<,815.8614525372752,0.5110851808634772,0.5117647058823529,mann-whitney U-test,0.37622805754848276
square_firstorder_MeanAbsoluteDeviation,0.5161301393369483,>,10.931389957801663,0.5235294117647059,0.5239206534422404,mann-whitney U-test,0.3835725365445445
wavelet-HH_firstorder_Mean,0.5159276546091015,<,0.0017188509086081,0.4982497082847141,0.4970588235294118,mann-whitney U-test,0.38957216682656737
squareroot_ngtdm_Contrast,0.5158624476628458,<,0.1170196010311479,0.5192532088681447,0.5176470588235293,mann-whitney U-test,0.3915163372860757
wavelet2-HL_gldm_DependenceVariance,0.5158384240510674,>,3.416250266627654,0.4970588235294118,0.49824970828471415,mann-whitney U-test,0.39223409253440533
wavelet2-HL_gldm_DependenceNonUniformityNormalized,0.515828128217448,<,0.150103713470191,0.5110851808634772,0.5088235294117647,mann-whitney U-test,0.3925419460635916
exponential_gldm_SmallDependenceHighGrayLevelEmphasis,0.5158144004392888,<,0.0319147455128133,0.5239206534422404,0.5235294117647059,mann-whitney U-test,0.3929526452352685
wavelet2-LL_glcm_Idmn,0.5156771226576978,<,0.9985150245497428,0.5122520420070011,0.5147058823529411,mann-whitney U-test,0.39707394249300554
log-sigma-2-mm-3D_glcm_MCC,0.5155673004324249,>,0.9637778371712816,0.5147058823529411,0.5157526254375729,mann-whitney U-test,0.40038967870787134
wavelet2-LH_glszm_LargeAreaEmphasis,0.515505525430709,>,749.9263399540872,0.5088235294117647,0.5064177362893816,mann-whitney U-test,0.40226207064743713
wavelet-LH_firstorder_Median,0.5154471823735328,>,0.0272495457323849,0.5088235294117647,0.5099183197199533,mann-whitney U-test,0.40403525353074354
wavelet2-LH_glszm_ZoneVariance,0.5151348754204131,>,719.1580080729523,0.5088235294117647,0.5110851808634773,mann-whitney U-test,0.41360626434272396
original_glcm_Idn,0.514846592079072,<,0.9720349128868312,0.5110851808634772,0.5117647058823529,t-test,0.4192115871643335
square_glrlm_GrayLevelNonUniformityNormalized,0.5149083670807879,>,0.2243584136119647,0.5147058823529411,0.514585764294049,mann-whitney U-test,0.42063110072723753
log-sigma-2-mm-3D_firstorder_Mean,0.5149049351362482,>,-2.311115983564157,0.5088235294117647,0.5052508751458576,mann-whitney U-test,0.42073807361006066
square_gldm_SmallDependenceLowGrayLevelEmphasis,0.5148843434690096,<,0.015384414908458,0.5005834305717619,0.5,mann-whitney U-test,0.42138024623606796
log-sigma-2-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.5148054087445947,<,13.000886006893715,0.5075845974329055,0.5088235294117647,mann-whitney U-test,0.42384722896329563
wavelet-HH_ngtdm_Strength,0.5143077767863271,>,0.0015134286388469,0.5029411764705882,0.5052508751458576,mann-whitney U-test,0.4395933165357171
exponential_glcm_Correlation,0.5141327476147985,>,0.7971829949762054,0.5058823529411764,0.5052508751458576,mann-whitney U-test,0.44521032539624383
log-sigma-3-mm-3D_gldm_LargeDependenceEmphasis,0.514081268446702,>,52.18995064682954,0.5058823529411764,0.5087514585764294,mann-whitney U-test,0.4468702647221938
wavelet2-HH_glcm_Imc1,0.5140469490013042,<,-0.0230611815786933,0.5134189031505251,0.5117647058823529,mann-whitney U-test,0.4479787803864087
exponential_gldm_SmallDependenceEmphasis,0.5139783101105087,>,0.0147778732529274,0.5029411764705882,0.5017502917152858,mann-whitney U-test,0.4502004919877568
log-sigma-2-mm-3D_firstorder_InterquartileRange,0.5136488434346901,<,30.691590309143063,0.5017502917152858,0.5029411764705882,mann-whitney U-test,0.460951185625911
log-sigma-2-mm-3D_firstorder_10Percentile,0.5136145239892924,>,-35.713066482543944,0.5088235294117647,0.5075845974329054,mann-whitney U-test,0.46207924319545146
log-sigma-3-mm-3D_firstorder_Variance,0.5134978378749399,<,739.713712413137,0.5157526254375729,0.5117647058823529,mann-whitney U-test,0.4659261415353263
log-sigma-0-6-mm-3D_glrlm_RunEntropy,0.513466950374082,<,4.559318256941549,0.5227537922987164,0.5205882352941176,mann-whitney U-test,0.46694740759597253
wavelet2-LH_gldm_DependenceVariance,0.5134429267623035,>,3.392766882134488,0.4852941176470588,0.48424737456242706,mann-whitney U-test,0.4677425833148161
log-sigma-3-mm-3D_gldm_GrayLevelVariance,0.5134326309286842,<,5.297989511113032,0.5122520420070011,0.5117647058823529,mann-whitney U-test,0.46808360246726344
exponential_firstorder_Mean,0.5133811517605875,<,2.1823599951531736,0.48891481913652274,0.4911764705882353,mann-whitney U-test,0.46979076217466
wavelet-HH_gldm_DependenceNonUniformityNormalized,0.5133605600933488,<,0.2538261446713669,0.5215869311551925,0.5205882352941176,mann-whitney U-test,0.4704745882938721
original_glszm_GrayLevelNonUniformityNormalized,0.5133605600933488,>,0.059796069928286,0.5147058823529411,0.5169194865810969,mann-whitney U-test,0.4704745882938721
wavelet2-LH_gldm_DependenceNonUniformityNormalized,0.5132267142562976,<,0.1508265918570734,0.49241540256709454,0.49411764705882355,mann-whitney U-test,0.4749328276178505
log-sigma-0-6-mm-3D_glszm_LargeAreaEmphasis,0.513175235088201,>,7034.3174962292605,0.5,0.4970828471411902,mann-whitney U-test,0.47665369017047454
square_glcm_DifferenceVariance,0.5131065961974055,<,0.3279112518746175,0.5110851808634772,0.5088235294117647,mann-whitney U-test,0.47895347613190264
wavelet2-LL_gldm_DependenceEntropy,0.5130894364747065,>,7.947125792293809,0.5058823529411764,0.5064177362893816,mann-whitney U-test,0.4795293678760061
wavelet-HH_firstorder_Skewness,0.5129727503603542,>,0.0051044218399155,0.5147058823529411,0.5157526254375729,mann-whitney U-test,0.48345543314516837
exponential_glcm_Imc1,0.5127050586862516,<,-0.5181321709201403,0.5064177362893816,0.5058823529411764,mann-whitney U-test,0.49252774438151914
log-sigma-2-mm-3D_firstorder_RootMeanSquared,0.5126810350744733,>,298.81383709919066,0.5058823529411764,0.5064177362893816,mann-whitney U-test,0.4933464650465422
log-sigma-0-6-mm-3D_glszm_ZoneVariance,0.5126673072963142,>,6830.420747215301,0.5,0.4935822637106184,mann-whitney U-test,0.49381458048288185
wavelet2-HH_gldm_DependenceEntropy,0.5126021003500583,<,3.3628579275077644,0.49241540256709454,0.4970588235294118,mann-whitney U-test,0.4960413713845587
original_glszm_ZoneEntropy,0.5125403253483424,>,7.319076589076805,0.5058823529411764,0.5099183197199533,mann-whitney U-test,0.49815589472906463
log-sigma-3-mm-3D_firstorder_90Percentile,0.5123996156222116,<,29.93946914672852,0.5250875145857643,0.5235294117647059,mann-whitney U-test,0.5029901539016635
log-sigma-0-6-mm-3D_firstorder_Mean,0.5123961836776717,>,-0.5975032180804452,0.5029411764705882,0.5029171528588098,mann-whitney U-test,0.5031083715669981
exponential_glrlm_LowGrayLevelRunEmphasis,0.5123652961768138,>,0.7816384351462213,0.5088235294117647,0.5099183197199533,mann-whitney U-test,0.5041729012886086
exponential_firstorder_RootMeanSquared,0.5123652961768138,<,302.2037408459352,0.49474912485414235,0.49411764705882355,mann-whitney U-test,0.5041729907876653
exponential_glrlm_GrayLevelNonUniformityNormalized,0.5121868350607455,>,0.5746431843630921,0.5088235294117647,0.5180863477246207,mann-whitney U-test,0.5103472306113974
original_glcm_ClusterProminence,0.512131923948109,<,26956.74232558504,0.5215869311551925,0.5205882352941176,mann-whitney U-test,0.5122550368603347
wavelet-HH_glrlm_RunVariance,0.5120495572791544,>,1.99327818758556,0.5088235294117647,0.5087514585764294,mann-whitney U-test,0.5151235707197027
wavelet-LH_glcm_MCC,0.5119431669984214,<,0.4500804700360522,0.5215869311551925,0.5235294117647059,mann-whitney U-test,0.5188410697211445
log-sigma-3-mm-3D_glcm_SumSquares,0.5119088475530236,<,5.2847155351611415,0.5122520420070011,0.5117647058823529,mann-whitney U-test,0.5200432123852542
wavelet-LH_glcm_Correlation,0.511871096163086,>,0.3607022937585614,0.5058823529411764,0.5040840140023337,mann-whitney U-test,0.521367226245059
log-sigma-3-mm-3D_glcm_ClusterTendency,0.5118264808840689,<,20.86580412563721,0.5122520420070011,0.5117647058823529,mann-whitney U-test,0.5229342035284215
wavelet2-LL_glcm_ClusterProminence,0.5116274281007619,<,6662548.357105088,0.5239206534422404,0.5235294117647059,mann-whitney U-test,0.5299546754964617
wavelet2-LH_glcm_Correlation,0.5115862447662846,<,0.5190690236465848,0.5052508751458576,0.5058823529411764,mann-whitney U-test,0.5314131433592044
log-sigma-3-mm-3D_glcm_ClusterShade,0.5112430503123069,>,-40.10924368234413,0.5029411764705882,0.5029171528588098,mann-whitney U-test,0.5436456522752988
exponential_glszm_GrayLevelNonUniformityNormalized,0.5112327544786877,>,0.2961302316861691,0.5117647058823529,0.5110851808634773,mann-whitney U-test,0.5440146766599927
log-sigma-3-mm-3D_glcm_MCC,0.5111950030887501,>,0.9780101573397182,0.49411764705882355,0.4970828471411902,mann-whitney U-test,0.5453693180781876
log-sigma-0-6-mm-3D_firstorder_Median,0.5111366600315739,<,0.5450783967971802,0.49474912485414235,0.5,mann-whitney U-test,0.5474659803556705
exponential_firstorder_90Percentile,0.5110165419726818,<,4.548451029125603,0.5064177362893816,0.5058823529411764,mann-whitney U-test,0.5517951529608223
wavelet-LH_glcm_Imc1,0.5106973711304825,<,-0.110052040082553,0.514585764294049,0.5147058823529411,mann-whitney U-test,0.563379447082635
wavelet2-HH_firstorder_Median,0.5099560711098909,<,0.001704880317168,0.5064177362893816,0.5058823529411764,mann-whitney U-test,0.5907284559270488
original_glcm_ClusterShade,0.5098393849955385,<,577.0127414782929,0.5122520420070011,0.5117647058823529,mann-whitney U-test,0.5950884316612455
log-sigma-3-mm-3D_glcm_JointEnergy,0.5098359530509986,>,0.082802314774737,0.5,0.500583430571762,mann-whitney U-test,0.5952168883579607
square_gldm_SmallDependenceHighGrayLevelEmphasis,0.5098222252728396,<,0.6517378861717305,0.5180863477246208,0.5176470588235293,mann-whitney U-test,0.5957308416576044
wavelet2-HH_glszm_ZonePercentage,0.5098187933282998,<,0.0077955152493943,0.5087514585764294,0.5088235294117647,mann-whitney U-test,0.5958593615948513
wavelet-HH_glszm_LargeAreaLowGrayLevelEmphasis,0.509722698881186,>,31030.317652482085,0.49411764705882355,0.4935822637106184,mann-whitney U-test,0.5994630394703264
