model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
base-resnet,1,17,0.2377238737108807,0.9574933684738784,0.8444444444444444,1.2276345782975355,0.5665509259259258,0.0703641878871379,0.0472476041898819,0.4318936877076412,0.4299936665962955,0.43,0.7738095238095238,0.2962962962962963,0.2995391705069124,0.7710843373493976,0.53505291005291,"[0.7710843373493976, 0.2995391705069124]","[0.2962962962962963, 0.7738095238095238]","[0.4280936454849498, 0.4318936877076412]","[0.2962962962962963, 0.7738095238095238]"
base-resnet,2,5,0.594757870409929,0.7263373642139783,0.4155339805825243,0.7188871851066748,0.5642660802638813,0.0174497820999808,0.0152367011543963,0.1818181818181818,0.4871355060034306,0.6688963210702341,0.1294117647058823,0.883177570093458,0.3055555555555556,0.7186311787072244,0.5062946673996702,"[0.7186311787072244, 0.3055555555555556]","[0.883177570093458, 0.12941176470588237]","[0.7924528301886793, 0.18181818181818182]","[0.883177570093458, 0.12941176470588237]"
base-resnet,3,21,0.1117673910861391,0.9929846829385433,0.9541284403669724,1.0485324951626311,0.5583333333333333,0.0211380010803347,0.0143560872624911,0.1132075471698113,0.4606854062379669,0.6845637583892618,0.0681818181818181,0.9428571428571428,0.3333333333333333,0.7071428571428572,0.5055194805194805,"[0.7071428571428572, 0.3333333333333333]","[0.9428571428571428, 0.06818181818181818]","[0.8081632653061225, 0.11320754716981132]","[0.9428571428571428, 0.06818181818181818]"
base-resnet,4,37,0.0290453230755218,0.9996428743123612,0.9897810218978104,1.279056020030825,0.5247791424262012,0.015237863521611,0.0138297531773218,0.192,0.4918762886597938,0.6688524590163935,0.1428571428571428,0.8687782805429864,0.2926829268292683,0.7272727272727273,0.5058177117000646,"[0.7272727272727273, 0.2926829268292683]","[0.8687782805429864, 0.14285714285714285]","[0.7917525773195876, 0.192]","[0.8687782805429864, 0.14285714285714285]"
base-resnet,5,19,0.1355534852133713,0.9897411793556562,0.921417565485362,0.7914368535873274,0.6111760124610591,0.1198665166063078,0.1174906321769612,0.3287671232876712,0.5554946727549468,0.6711409395973155,0.2857142857142857,0.822429906542056,0.3870967741935484,0.7457627118644068,0.5540720961281709,"[0.7457627118644068, 0.3870967741935484]","[0.822429906542056, 0.2857142857142857]","[0.7822222222222223, 0.3287671232876712]","[0.822429906542056, 0.2857142857142857]"
base-vit,1,22,0.6931472469369571,0.4756451442207573,0.4425697598961713,0.6931472357114156,0.5,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
base-vit,2,22,0.6931474816779328,0.5110200177632029,0.4412719013627514,0.6931474030017852,0.5,0.0,0.0,0.4427083333333333,0.2213541666666666,0.2842809364548495,1.0,0.0,0.2842809364548495,0.0,0.5,"[0.0, 0.2842809364548495]","[0.0, 1.0]","[0.0, 0.4427083333333333]","[0.0, 1.0]"
base-vit,3,34,0.693234079292729,0.5101987959040154,0.0,0.6931428593277131,0.5024621212121212,0.0,0.0,0.0,0.4133858267716535,0.7046979865771812,0.0,1.0,0.0,0.7046979865771812,0.5,"[0.7046979865771812, 0.0]","[1.0, 0.0]","[0.8267716535433071, 0.0]","[1.0, 0.0]"
base-vit,4,39,0.6721099758875808,0.5021564897292026,0.0,0.6716047205956154,0.4794494720965309,0.0,0.0,0.0,0.4201520912547528,0.7245901639344262,0.0,1.0,0.0,0.7245901639344262,0.5,"[0.7245901639344262, 0.0]","[1.0, 0.0]","[0.8403041825095057, 0.0]","[1.0, 0.0]"
base-vit,5,14,0.6931472255068889,0.5,0.4419961114711601,0.6931472052663765,0.5,0.0,0.0,0.4397905759162304,0.2198952879581152,0.2818791946308724,1.0,0.0,0.2818791946308724,0.0,0.5,"[0.0, 0.28187919463087246]","[0.0, 1.0]","[0.0, 0.4397905759162304]","[0.0, 1.0]"
