Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_balanced_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy,Ensemble
1,1,0.8095066375832629,0.6565313323418062,0.8085722257097022,0.24818974357528045,0.17309559086496695,0.2585551330798479,0.5500736672710369,0.7389558232931727,0.5664626490897677,0.1574074074074074,0.975517890772128,0.723404255319149,0.74,"[0.74, 0.723404255319149]","[0.975517890772128, 0.1574074074074074]","[0.8415922014622258, 0.2585551330798479]","[0.975517890772128, 0.1574074074074074]",SVM + SVM + Gradient Boosting
2,1,0.8196754899909325,0.669251409369411,0.7504133830565719,0.27512118720022744,0.24649237380972444,0.3790849673202614,0.6103758169934641,0.747675962815405,0.6029103926259499,0.27751196172248804,0.9283088235294118,0.5979381443298969,0.7698170731707317,"[0.7698170731707317, 0.5979381443298969]","[0.9283088235294118, 0.27751196172248804]","[0.8416666666666667, 0.3790849673202614]","[0.9283088235294118, 0.27751196172248804]",SVM + SVM + Gradient Boosting
1,1,0.7675570527253964,0.561432165739358,0.8038902838808677,0.3887827687455246,0.35487283263579084,0.48,0.667715996578272,0.7737617135207496,0.6513653483992466,0.3611111111111111,0.9416195856873822,0.7155963302752294,0.7836990595611285,"[0.7836990595611285, 0.7155963302752294]","[0.9416195856873822, 0.3611111111111111]","[0.8554319931565441, 0.48]","[0.9416195856873822, 0.3611111111111111]",SVM + Logistic Regression + SVM
2,1,0.7918337750807932,0.5973176282941164,0.756992330424993,0.3650927886988687,0.3575578051305648,0.5082872928176796,0.676346443611637,0.7636122177954847,0.664029517309316,0.44019138755980863,0.8878676470588235,0.6013071895424836,0.805,"[0.805, 0.6013071895424836]","[0.8878676470588235, 0.44019138755980863]","[0.8444055944055944, 0.5082872928176796]","[0.8878676470588235, 0.44019138755980863]",SVM + Logistic Regression + SVM
1,1,0.7647058823529411,0.5572121164052319,0.8098800306898235,0.4300345251691093,0.4299984392071172,0.5963302752293578,0.7149893342120324,0.7643908969210174,0.7161801632140615,0.6018518518518519,0.8305084745762712,0.5909090909090909,0.8368121442125237,"[0.8368121442125237, 0.5909090909090909]","[0.8305084745762712, 0.6018518518518519]","[0.833648393194707, 0.5963302752293578]","[0.8305084745762712, 0.6018518518518519]",SVM + Logistic Regression + Logistic Regression
2,1,0.7898909581269907,0.5968153176652234,0.7669047283985364,0.39191018816151807,0.3911754514303315,0.5675057208237986,0.6953524862304212,0.749003984063745,0.7010624824092316,0.5933014354066986,0.8088235294117647,0.543859649122807,0.8380952380952381,"[0.8380952380952381, 0.543859649122807]","[0.8088235294117647, 0.5933014354066986]","[0.823199251637044, 0.5675057208237986]","[0.8088235294117647, 0.5933014354066986]",SVM + Logistic Regression + Logistic Regression
1,1,0.8167247162022703,0.6766840635999515,0.8056776173537001,0.3746820446581262,0.338093471810089,0.4625,0.6579961669505963,0.7697456492637216,0.6430477087256748,0.3425925925925926,0.943502824858757,0.7115384615384616,0.7791601866251944,"[0.7791601866251944, 0.7115384615384616]","[0.943502824858757, 0.3425925925925926]","[0.8534923339011925, 0.4625]","[0.943502824858757, 0.3425925925925926]",SVM + Logistic Regression + Random Forest
2,1,0.8319441538211155,0.6999899208398267,0.7535621305938643,0.3621102896641419,0.3534048588464581,0.5027932960893855,0.6738705156405116,0.7636122177954847,0.6610830636082184,0.430622009569378,0.8915441176470589,0.6040268456375839,0.8029801324503312,"[0.8029801324503312, 0.6040268456375839]","[0.8915441176470589, 0.430622009569378]","[0.8449477351916377, 0.5027932960893855]","[0.8915441176470589, 0.430622009569378]",SVM + Logistic Regression + Random Forest
1,1,0.7258038981142696,0.5169618413777292,0.7617004952221524,0.34786125729171075,0.343489087446902,0.5537190082644629,0.6699288110629245,0.7108433734939759,0.6840081607030759,0.6203703703703703,0.7476459510357816,0.5,0.8288100208768268,"[0.8288100208768268, 0.5]","[0.7476459510357816, 0.6203703703703703]","[0.7861386138613862, 0.5537190082644629]","[0.7476459510357816, 0.6203703703703703]",SVM + Logistic Regression + Naive Bayes
2,1,0.7526592034595802,0.5354545414706877,0.7277828595553054,0.29240078076265164,0.28748448696429507,0.45776566757493187,0.6415255027953676,0.7357237715803453,0.6329422319166902,0.4019138755980861,0.8639705882352942,0.5316455696202531,0.7899159663865546,"[0.7899159663865546, 0.5316455696202531]","[0.8639705882352942, 0.4019138755980861]","[0.8252853380158033, 0.45776566757493187]","[0.8639705882352942, 0.4019138755980861]",SVM + Logistic Regression + Naive Bayes
