Ensemble,Folds,Avg_Train_AUC,Avg_Train_F1,Avg_Val_AUC,Avg_Val_MCC,Avg_Val_Kappa,Avg_Val_F1_Binary,Avg_Val_F1_Macro,Avg_Val_Accuracy,Avg_Val_BalancedAccuracy,Avg_Val_Sensitivity,Avg_Val_Specificity,Avg_Val_PPV,Avg_Val_NPV,Avg_Per_Class_Precision,Avg_Per_Class_Recall,Avg_Per_Class_F1,Avg_Per_Class_Accuracy
Random Forest + Gradient Boosting + KNN,2,0.9606316893425171,0.8526755028449605,0.7252958485776844,0.1712491318061541,0.14305686864867712,0.27229382051645185,0.5486379571213069,0.7179928212184729,0.5582926896035268,0.18890660995924152,0.9276787692478121,0.5115646258503401,0.7431836616776115,"0.743, 0.512","0.928, 0.189","0.825, 0.272","0.928, 0.189"
Gradient Boosting + Gradient Boosting + KNN,2,0.9601452236799424,0.8111920504806793,0.7308503704900224,0.19378199442862565,0.1609821436477727,0.28856304985337244,0.5583425459401272,0.7233422401425089,0.565580936671202,0.20063574339890128,0.9305261299435028,0.5441349219667729,0.746526786988158,"0.747, 0.544","0.931, 0.201","0.828, 0.289","0.931, 0.201"
Random Forest + Random Forest + SVM,2,0.9553609788914019,0.8910379047968481,0.7489478165089762,0.1893535079438063,0.14698667031950546,0.2529269627671646,0.5432750223605574,0.7279689808370267,0.5581537854759309,0.165448343079922,0.9508592278719397,0.5709401709401709,0.7424501424501424,"0.742, 0.571","0.951, 0.165","0.834, 0.253","0.951, 0.165"
Gradient Boosting + Random Forest + SVM,2,0.9548745132288271,0.8495544524325667,0.7558088264250116,0.20555508668479233,0.15976255610745976,0.26590038314176245,0.550677666813123,0.7313103676325488,0.5633430055505113,0.17486266170476697,0.9518233493962557,0.5950617283950617,0.7448171041921041,"0.745, 0.595","0.952, 0.175","0.835, 0.266","0.952, 0.175"
Random Forest + Gradient Boosting + SVM,2,0.9542649083023604,0.859616759340615,0.7483590992140636,0.20663742097952986,0.16494187027716167,0.2791391649596642,0.556474344384594,0.7299930132215449,0.5658793779148996,0.18643673577884107,0.9453220200509582,0.5819089900110987,0.7461496315725897,"0.746, 0.582","0.945, 0.186","0.834, 0.279","0.945, 0.186"
Gradient Boosting + Gradient Boosting + SVM,2,0.9537784426397855,0.8181333069763336,0.7555172600835138,0.2245219004930235,0.176991122914189,0.28603522181480145,0.5617662118180988,0.7353210984709089,0.5702761990256415,0.18875155059365586,0.9518008474576272,0.614423076923077,0.7479651939666692,"0.748, 0.614","0.952, 0.189","0.837, 0.286","0.952, 0.189"
Random Forest + Random Forest + Logistic Regression,2,0.9529639852282731,0.8886767248153387,0.7635434999739199,0.3011790891734589,0.28749152665787525,0.44483368255631217,0.6380416805801292,0.741350528275119,0.6286567734551087,0.3677011341485026,0.8896124127617149,0.5733300802428973,0.780725906716398,"0.781, 0.573","0.890, 0.368","0.831, 0.445","0.890, 0.368"
Gradient Boosting + Random Forest + Logistic Regression,2,0.9524775195656983,0.8471932724510574,0.7679788725902941,0.27424001346505666,0.257507237946204,0.41310279687254026,0.6210764660423049,0.7353584324015852,0.6130012711952747,0.3298888002835371,0.8961137421070122,0.5623590074121818,0.7718338815789474,"0.772, 0.562","0.896, 0.330","0.829, 0.413","0.896, 0.330"
Random Forest + Gradient Boosting + Logistic Regression,2,0.9518679146392316,0.8572555793591055,0.7617691678665737,0.2936386213093797,0.27914982537371674,0.43561024610748367,0.6332987788824491,0.7400118401894431,0.6241321183644706,0.35589447102605,0.8923697657028913,0.5706054351565187,0.7780529225908372,"0.778, 0.571","0.892, 0.356","0.831, 0.436","0.892, 0.356"
Gradient Boosting + Gradient Boosting + Logistic Regression,2,0.9513814489766567,0.815772126994824,0.7667446897670153,0.2866171041977895,0.2708006815689961,0.4268441995714723,0.6284332041669193,0.7380198083169331,0.6199570356249169,0.3465576820839979,0.8933563891658358,0.5685425685425686,0.7757843667458284,"0.776, 0.569","0.893, 0.347","0.830, 0.427","0.893, 0.347"
