model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
base-resnet,3,2,0.6060062676866519,0.6925267148076362,0.3763837638376384,0.5763581243887443,0.7479978354978355,0.3048285972482584,0.3019881170018282,0.4875,0.6497133027522936,0.7248322147651006,0.4431818181818182,0.8428571428571429,0.5416666666666666,0.7831858407079646,0.6430194805194805,"[0.7831858407079646, 0.5416666666666666]","[0.8428571428571429, 0.4431818181818182]","[0.8119266055045872, 0.4875]","[0.8428571428571429, 0.4431818181818182]"
base-resnet,4,5,0.5552333181094764,0.765838867636858,0.5433715220949263,0.5988191712428542,0.7735940530058177,0.4083007504152512,0.3715751172679847,0.591304347826087,0.6719679633867277,0.6918032786885245,0.8095238095238095,0.6470588235294118,0.4657534246575342,0.89937106918239,0.7282913165266107,"[0.89937106918239, 0.4657534246575342]","[0.6470588235294118, 0.8095238095238095]","[0.7526315789473684, 0.591304347826087]","[0.6470588235294118, 0.8095238095238095]"
base-resnet,5,3,0.6017852195983322,0.6982639704905637,0.3622350674373796,0.5828478570352464,0.783433466844682,0.3922138535874752,0.3608689636086897,0.5866666666666667,0.6679964061096136,0.6879194630872483,0.7857142857142857,0.6495327102803738,0.4680851063829787,0.8853503184713376,0.7176234979973297,"[0.8853503184713376, 0.46808510638297873]","[0.6495327102803738, 0.7857142857142857]","[0.7493261455525606, 0.5866666666666667]","[0.6495327102803738, 0.7857142857142857]"
base-vit,1,21,0.6931471466024717,0.4956984695427746,0.0,0.6931471618016561,0.6203703703703705,0.0,0.0,0.0,0.4186046511627907,0.72,0.0,1.0,0.0,0.72,0.5,"[0.72, 0.0]","[1.0, 0.0]","[0.8372093023255814, 0.0]","[1.0, 0.0]"
base-vit,2,9,0.69314730494669,0.5182943909271025,0.4412719013627514,0.6931472762425741,0.6400769653655854,0.0,0.0,0.4427083333333333,0.2213541666666666,0.2842809364548495,1.0,0.0,0.2842809364548495,0.0,0.5,"[0.0, 0.2842809364548495]","[0.0, 1.0]","[0.0, 0.4427083333333333]","[0.0, 1.0]"
base-vit,3,4,0.6931476400616562,0.5729112708186823,0.437946718648473,0.693147504889725,0.6235119047619049,0.0,0.0,0.4559585492227979,0.2279792746113989,0.2953020134228188,1.0,0.0,0.2953020134228188,0.0,0.5,"[0.0, 0.2953020134228188]","[0.0, 1.0]","[0.0, 0.45595854922279794]","[0.0, 1.0]"
base-vit,4,1,0.697609614070044,0.5130110502929117,0.0,0.6921505624172735,0.608247145011851,0.0,0.0,0.0,0.4201520912547528,0.7245901639344262,0.0,1.0,0.0,0.7245901639344262,0.5,"[0.7245901639344262, 0.0]","[1.0, 0.0]","[0.8403041825095057, 0.0]","[1.0, 0.0]"
base-vit,5,21,0.6931473433277174,0.4917660362192226,0.4419961114711601,0.6931472716715512,0.5775478415665332,0.0,0.0,0.4397905759162304,0.2198952879581152,0.2818791946308724,1.0,0.0,0.2818791946308724,0.0,0.5,"[0.0, 0.28187919463087246]","[0.0, 1.0]","[0.0, 0.4397905759162304]","[0.0, 1.0]"
config1,1,22,0.5209507748360435,0.799849105042691,0.5990491283676703,0.5010776077707608,0.8253417107583775,0.4888733206079747,0.4884702825592725,0.6358381502890174,0.74414858334123,0.79,0.6547619047619048,0.8425925925925926,0.6179775280898876,0.8625592417061612,0.7486772486772486,"[0.8625592417061612, 0.6179775280898876]","[0.8425925925925926, 0.6547619047619048]","[0.8524590163934426, 0.6358381502890174]","[0.8425925925925926, 0.6547619047619048]"
config1,2,31,0.4536238165817126,0.8544476327116212,0.6572769953051644,0.5345639409124852,0.8129741616272677,0.4316491008735134,0.418731697713906,0.6108374384236454,0.7054187192118226,0.7357859531772575,0.7294117647058823,0.7383177570093458,0.5254237288135594,0.8729281767955801,0.7338647608576141,"[0.8729281767955801, 0.5254237288135594]","[0.7383177570093458, 0.7294117647058823]","[0.8, 0.6108374384236454]","[0.7383177570093458, 0.7294117647058823]"
